                                                                                                     
{'loss': 0.6931, 'grad_norm': 126.0, 'learning_rate': 0.0, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -73.44515228271484, 'logps/rejected': -77.38186645507812, 'logits/chosen': 0.7641758322715759, 'logits/rejected': 0.41689828038215637, 'epoch': 0.0}
{'loss': 0.6931, 'grad_norm': 219.0, 'learning_rate': 8.403361344537815e-07, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -121.1627197265625, 'logps/rejected': -118.2458267211914, 'logits/chosen': 0.6269501447677612, 'logits/rejected': 0.8030222654342651, 'epoch': 0.0}
{'loss': 0.6917, 'grad_norm': 158.0, 'learning_rate': 1.680672268907563e-06, 'rewards/chosen': -0.0008064266294240952, 'rewards/rejected': -0.004092216957360506, 'rewards/accuracies': 0.5, 'rewards/margins': 0.003285790793597698, 'logps/chosen': -87.62763977050781, 'logps/rejected': -95.02831268310547, 'logits/chosen': 0.8293566703796387, 'logits/rejected': 1.190821886062622, 'epoch': 0.0}
{'loss': 0.6966, 'grad_norm': 108.0, 'learning_rate': 2.521008403361345e-06, 'rewards/chosen': 0.014191437512636185, 'rewards/rejected': 0.020974446088075638, 'rewards/accuracies': 0.25, 'rewards/margins': -0.006783008109778166, 'logps/chosen': -55.13547897338867, 'logps/rejected': -61.64592742919922, 'logits/chosen': 0.992143452167511, 'logits/rejected': 0.44626715779304504, 'epoch': 0.0}
{'loss': 0.695, 'grad_norm': 101.0, 'learning_rate': 3.361344537815126e-06, 'rewards/chosen': 0.02966604381799698, 'rewards/rejected': 0.03260507434606552, 'rewards/accuracies': 0.5, 'rewards/margins': -0.0029390333220362663, 'logps/chosen': -49.498382568359375, 'logps/rejected': -59.52016067504883, 'logits/chosen': 0.6768579483032227, 'logits/rejected': 0.9713900089263916, 'epoch': 0.0}
{'loss': 0.6701, 'grad_norm': 141.0, 'learning_rate': 4.2016806722689085e-06, 'rewards/chosen': 0.10377054661512375, 'rewards/rejected': 0.05512523651123047, 'rewards/accuracies': 0.5, 'rewards/margins': 0.04864530637860298, 'logps/chosen': -76.8939437866211, 'logps/rejected': -67.09353637695312, 'logits/chosen': 1.03505539894104, 'logits/rejected': 0.8745688796043396, 'epoch': 0.01}
{'loss': 0.657, 'grad_norm': 123.5, 'learning_rate': 5.04201680672269e-06, 'rewards/chosen': 0.15658189356327057, 'rewards/rejected': 0.08261165767908096, 'rewards/accuracies': 1.0, 'rewards/margins': 0.07397022098302841, 'logps/chosen': -95.48550415039062, 'logps/rejected': -103.214599609375, 'logits/chosen': 1.4651827812194824, 'logits/rejected': 1.3562471866607666, 'epoch': 0.01}
{'loss': 0.6737, 'grad_norm': 117.0, 'learning_rate': 5.882352941176471e-06, 'rewards/chosen': 0.10439901053905487, 'rewards/rejected': 0.06454858928918839, 'rewards/accuracies': 0.75, 'rewards/margins': 0.03985042870044708, 'logps/chosen': -63.80189514160156, 'logps/rejected': -79.0974349975586, 'logits/chosen': 1.3795011043548584, 'logits/rejected': 1.3392558097839355, 'epoch': 0.01}
{'loss': 0.6541, 'grad_norm': 126.0, 'learning_rate': 6.722689075630252e-06, 'rewards/chosen': 0.15530414879322052, 'rewards/rejected': 0.07433214783668518, 'rewards/accuracies': 1.0, 'rewards/margins': 0.08097200840711594, 'logps/chosen': -75.7617416381836, 'logps/rejected': -71.70254516601562, 'logits/chosen': 0.4636807441711426, 'logits/rejected': 0.3939320743083954, 'epoch': 0.01}
{'loss': 0.6742, 'grad_norm': 134.0, 'learning_rate': 7.563025210084033e-06, 'rewards/chosen': 0.35240620374679565, 'rewards/rejected': 0.28273963928222656, 'rewards/accuracies': 0.25, 'rewards/margins': 0.06966657191514969, 'logps/chosen': -86.0950927734375, 'logps/rejected': -86.7569808959961, 'logits/chosen': 1.1457257270812988, 'logits/rejected': 1.0709786415100098, 'epoch': 0.01}
{'loss': 0.4925, 'grad_norm': 116.5, 'learning_rate': 8.403361344537817e-06, 'rewards/chosen': 0.38984957337379456, 'rewards/rejected': -0.2007802128791809, 'rewards/accuracies': 1.0, 'rewards/margins': 0.5906297564506531, 'logps/chosen': -67.6914291381836, 'logps/rejected': -80.51465606689453, 'logits/chosen': 1.2230503559112549, 'logits/rejected': 1.16487717628479, 'epoch': 0.01}
{'loss': 0.6776, 'grad_norm': 112.0, 'learning_rate': 9.243697478991598e-06, 'rewards/chosen': 0.4182058274745941, 'rewards/rejected': 0.38604333996772766, 'rewards/accuracies': 0.75, 'rewards/margins': 0.03216247633099556, 'logps/chosen': -81.11373901367188, 'logps/rejected': -88.57384490966797, 'logits/chosen': 1.0504376888275146, 'logits/rejected': 1.175482988357544, 'epoch': 0.01}
{'loss': 0.6312, 'grad_norm': 108.0, 'learning_rate': 1.008403361344538e-05, 'rewards/chosen': 0.5421716570854187, 'rewards/rejected': 0.40724462270736694, 'rewards/accuracies': 0.75, 'rewards/margins': 0.13492706418037415, 'logps/chosen': -55.089027404785156, 'logps/rejected': -44.755577087402344, 'logits/chosen': 0.5669201612472534, 'logits/rejected': 0.47008222341537476, 'epoch': 0.01}
{'loss': 0.5445, 'grad_norm': 95.0, 'learning_rate': 1.092436974789916e-05, 'rewards/chosen': 0.6992500424385071, 'rewards/rejected': 0.34578266739845276, 'rewards/accuracies': 0.75, 'rewards/margins': 0.3534673750400543, 'logps/chosen': -61.9156494140625, 'logps/rejected': -71.28138732910156, 'logits/chosen': 1.4335663318634033, 'logits/rejected': 1.342794418334961, 'epoch': 0.01}
{'loss': 0.4882, 'grad_norm': 102.0, 'learning_rate': 1.1764705882352942e-05, 'rewards/chosen': 0.577934741973877, 'rewards/rejected': -0.01029987633228302, 'rewards/accuracies': 0.75, 'rewards/margins': 0.5882346034049988, 'logps/chosen': -72.903076171875, 'logps/rejected': -57.64106750488281, 'logits/chosen': 0.3553488254547119, 'logits/rejected': 0.3546019494533539, 'epoch': 0.01}
