                                                                                                                                                                 
{'loss': 2.5089, 'grad_norm': 1.7780554294586182, 'learning_rate': 0.0, 'num_tokens': 544.0, 'mean_token_accuracy': 0.5522855892777443, 'epoch': 0.0}
{'loss': 2.8482, 'grad_norm': 1.9816869497299194, 'learning_rate': 8.403361344537815e-07, 'num_tokens': 1267.0, 'mean_token_accuracy': 0.4974357560276985, 'epoch': 0.0}
{'loss': 2.6669, 'grad_norm': 1.9566621780395508, 'learning_rate': 1.680672268907563e-06, 'num_tokens': 1897.0, 'mean_token_accuracy': 0.5105145797133446, 'epoch': 0.0}
{'loss': 2.3004, 'grad_norm': 1.9002443552017212, 'learning_rate': 2.521008403361345e-06, 'num_tokens': 2437.0, 'mean_token_accuracy': 0.5866424441337585, 'epoch': 0.0}
{'loss': 2.9056, 'grad_norm': 2.1646695137023926, 'learning_rate': 3.361344537815126e-06, 'num_tokens': 2821.0, 'mean_token_accuracy': 0.5466687232255936, 'epoch': 0.0}
{'loss': 2.8531, 'grad_norm': 1.6939630508422852, 'learning_rate': 4.2016806722689085e-06, 'num_tokens': 3424.0, 'mean_token_accuracy': 0.5210287198424339, 'epoch': 0.01}
{'loss': 2.3534, 'grad_norm': 1.5643316507339478, 'learning_rate': 5.04201680672269e-06, 'num_tokens': 4526.0, 'mean_token_accuracy': 0.5658260434865952, 'epoch': 0.01}
{'loss': 2.3739, 'grad_norm': 1.7492586374282837, 'learning_rate': 5.882352941176471e-06, 'num_tokens': 5197.0, 'mean_token_accuracy': 0.6138668209314346, 'epoch': 0.01}
{'loss': 2.5153, 'grad_norm': 1.6536933183670044, 'learning_rate': 6.722689075630252e-06, 'num_tokens': 5797.0, 'mean_token_accuracy': 0.5546191558241844, 'epoch': 0.01}
{'loss': 2.4387, 'grad_norm': 1.8205957412719727, 'learning_rate': 7.563025210084033e-06, 'num_tokens': 6472.0, 'mean_token_accuracy': 0.5814653038978577, 'epoch': 0.01}
{'loss': 2.499, 'grad_norm': 1.7013593912124634, 'learning_rate': 8.403361344537817e-06, 'num_tokens': 7053.0, 'mean_token_accuracy': 0.5692491829395294, 'epoch': 0.01}
{'loss': 2.6952, 'grad_norm': 1.8404184579849243, 'learning_rate': 9.243697478991598e-06, 'num_tokens': 7809.0, 'mean_token_accuracy': 0.5290102288126945, 'epoch': 0.01}
{'loss': 2.7056, 'grad_norm': 2.3055152893066406, 'learning_rate': 1.008403361344538e-05, 'num_tokens': 8206.0, 'mean_token_accuracy': 0.5386145487427711, 'epoch': 0.01}
{'loss': 2.1623, 'grad_norm': 1.5263757705688477, 'learning_rate': 1.092436974789916e-05, 'num_tokens': 8886.0, 'mean_token_accuracy': 0.6009054034948349, 'epoch': 0.01}
{'loss': 2.64, 'grad_norm': 2.18099308013916, 'learning_rate': 1.1764705882352942e-05, 'num_tokens': 9380.0, 'mean_token_accuracy': 0.5609079599380493, 'epoch': 0.01}
{'loss': 2.1825, 'grad_norm': 1.2176909446716309, 'learning_rate': 1.2605042016806723e-05, 'num_tokens': 10520.0, 'mean_token_accuracy': 0.5961298197507858, 'epoch': 0.01}
{'loss': 2.4158, 'grad_norm': 1.8892279863357544, 'learning_rate': 1.3445378151260504e-05, 'num_tokens': 11204.0, 'mean_token_accuracy': 0.5889235287904739, 'epoch': 0.01}
{'loss': 2.2914, 'grad_norm': 1.4617912769317627, 'learning_rate': 1.4285714285714285e-05, 'num_tokens': 12219.0, 'mean_token_accuracy': 0.5941532105207443, 'epoch': 0.02}
{'loss': 2.4409, 'grad_norm': 2.107692241668701, 'learning_rate': 1.5126050420168067e-05, 'num_tokens': 12667.0, 'mean_token_accuracy': 0.6065510213375092, 'epoch': 0.02}
{'loss': 2.9462, 'grad_norm': 2.231177568435669, 'learning_rate': 1.5966386554621848e-05, 'num_tokens': 13250.0, 'mean_token_accuracy': 0.5169286727905273, 'epoch': 0.02}
{'loss': 2.6791, 'grad_norm': 2.294265031814575, 'learning_rate': 1.6806722689075634e-05, 'num_tokens': 13695.0, 'mean_token_accuracy': 0.5492993891239166, 'epoch': 0.02}
{'loss': 2.3511, 'grad_norm': 2.0366671085357666, 'learning_rate': 1.7647058823529414e-05, 'num_tokens': 14312.0, 'mean_token_accuracy': 0.6096189469099045, 'epoch': 0.02}
{'loss': 2.3841, 'grad_norm': 2.115288734436035, 'learning_rate': 1.8487394957983196e-05, 'num_tokens': 14887.0, 'mean_token_accuracy': 0.5920962542295456, 'epoch': 0.02}
{'loss': 2.4581, 'grad_norm': 1.8087722063064575, 'learning_rate': 1.9327731092436976e-05, 'num_tokens': 15458.0, 'mean_token_accuracy': 0.5750744938850403, 'epoch': 0.02}
{'loss': 1.882, 'grad_norm': 1.7062528133392334, 'learning_rate': 2.016806722689076e-05, 'num_tokens': 16197.0, 'mean_token_accuracy': 0.6240842044353485, 'epoch': 0.02}
{'loss': 2.3595, 'grad_norm': 1.7206273078918457, 'learning_rate': 2.100840336134454e-05, 'num_tokens': 16955.0, 'mean_token_accuracy': 0.573397308588028, 'epoch': 0.02}
{'loss': 2.9557, 'grad_norm': 2.3610353469848633, 'learning_rate': 2.184873949579832e-05, 'num_tokens': 17421.0, 'mean_token_accuracy': 0.5381194055080414, 'epoch': 0.02}
{'loss': 2.8627, 'grad_norm': 2.0083510875701904, 'learning_rate': 2.26890756302521e-05, 'num_tokens': 17993.0, 'mean_token_accuracy': 0.540404312312603, 'epoch': 0.02}
{'loss': 2.7809, 'grad_norm': 2.438918113708496, 'learning_rate': 2.3529411764705884e-05, 'num_tokens': 18413.0, 'mean_token_accuracy': 0.5488405525684357, 'epoch': 0.02}
{'loss': 2.5399, 'grad_norm': 2.5085885524749756, 'learning_rate': 2.4369747899159663e-05, 'num_tokens': 18971.0, 'mean_token_accuracy': 0.5158164873719215, 'epoch': 0.03}
{'loss': 2.3062, 'grad_norm': 1.9868272542953491, 'learning_rate': 2.5210084033613446e-05, 'num_tokens': 19619.0, 'mean_token_accuracy': 0.5840576440095901, 'epoch': 0.03}
{'loss': 2.2953, 'grad_norm': 2.0234134197235107, 'learning_rate': 2.605042016806723e-05, 'num_tokens': 20299.0, 'mean_token_accuracy': 0.5958910435438156, 'epoch': 0.03}
