                                                                                                                                                       
{'loss': 2.5089, 'grad_norm': 1.7246270179748535, 'learning_rate': 0.0, 'num_tokens': 544.0, 'mean_token_accuracy': 0.5522855892777443, 'epoch': 0.0}
{'loss': 2.8482, 'grad_norm': 1.9979442358016968, 'learning_rate': 4.2016806722689076e-07, 'num_tokens': 1267.0, 'mean_token_accuracy': 0.4974357560276985, 'epoch': 0.0}
{'loss': 2.6697, 'grad_norm': 1.9233989715576172, 'learning_rate': 8.403361344537815e-07, 'num_tokens': 1897.0, 'mean_token_accuracy': 0.5163535103201866, 'epoch': 0.0}
{'loss': 2.302, 'grad_norm': 1.8671132326126099, 'learning_rate': 1.2605042016806724e-06, 'num_tokens': 2437.0, 'mean_token_accuracy': 0.5880548655986786, 'epoch': 0.0}
{'loss': 2.909, 'grad_norm': 2.166865587234497, 'learning_rate': 1.680672268907563e-06, 'num_tokens': 2821.0, 'mean_token_accuracy': 0.5474652498960495, 'epoch': 0.0}
{'loss': 2.8545, 'grad_norm': 1.663817286491394, 'learning_rate': 2.1008403361344543e-06, 'num_tokens': 3424.0, 'mean_token_accuracy': 0.5255741775035858, 'epoch': 0.01}
{'loss': 2.3539, 'grad_norm': 1.532525897026062, 'learning_rate': 2.521008403361345e-06, 'num_tokens': 4526.0, 'mean_token_accuracy': 0.5624083429574966, 'epoch': 0.01}
{'loss': 2.3746, 'grad_norm': 1.7479248046875, 'learning_rate': 2.9411764705882355e-06, 'num_tokens': 5197.0, 'mean_token_accuracy': 0.6184080988168716, 'epoch': 0.01}
{'loss': 2.518, 'grad_norm': 1.73129141330719, 'learning_rate': 3.361344537815126e-06, 'num_tokens': 5797.0, 'mean_token_accuracy': 0.5499895289540291, 'epoch': 0.01}
{'loss': 2.435, 'grad_norm': 1.8439046144485474, 'learning_rate': 3.7815126050420167e-06, 'num_tokens': 6472.0, 'mean_token_accuracy': 0.582049697637558, 'epoch': 0.01}
{'loss': 2.5002, 'grad_norm': 1.6695835590362549, 'learning_rate': 4.2016806722689085e-06, 'num_tokens': 7053.0, 'mean_token_accuracy': 0.5672650560736656, 'epoch': 0.01}
{'loss': 2.6977, 'grad_norm': 1.7558684349060059, 'learning_rate': 4.621848739495799e-06, 'num_tokens': 7809.0, 'mean_token_accuracy': 0.524316594004631, 'epoch': 0.01}
{'loss': 2.7075, 'grad_norm': 2.2810444831848145, 'learning_rate': 5.04201680672269e-06, 'num_tokens': 8206.0, 'mean_token_accuracy': 0.5382276996970177, 'epoch': 0.01}
{'loss': 2.1632, 'grad_norm': 1.538164734840393, 'learning_rate': 5.46218487394958e-06, 'num_tokens': 8886.0, 'mean_token_accuracy': 0.6040280163288116, 'epoch': 0.01}
{'loss': 2.6447, 'grad_norm': 2.1473469734191895, 'learning_rate': 5.882352941176471e-06, 'num_tokens': 9380.0, 'mean_token_accuracy': 0.5609079599380493, 'epoch': 0.01}
{'loss': 2.1861, 'grad_norm': 1.171563744544983, 'learning_rate': 6.3025210084033615e-06, 'num_tokens': 10520.0, 'mean_token_accuracy': 0.5945282876491547, 'epoch': 0.01}
