                                                                                                                                  
{'loss': 0.6931, 'grad_norm': 126.0, 'learning_rate': 0.0, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -73.44515228271484, 'logps/rejected': -77.38186645507812, 'logits/chosen': 0.7641758322715759, 'logits/rejected': 0.41689828038215637, 'epoch': 0.0}
{'loss': 0.6931, 'grad_norm': 219.0, 'learning_rate': 8.403361344537815e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -121.1627197265625, 'logps/rejected': -118.2458267211914, 'logits/chosen': 0.6269501447677612, 'logits/rejected': 0.8030222654342651, 'epoch': 0.0}
{'loss': 0.6851, 'grad_norm': 156.0, 'learning_rate': 1.680672268907563e-07, 'rewards/chosen': -0.009863471612334251, 'rewards/rejected': -0.026270389556884766, 'rewards/accuracies': 0.75, 'rewards/margins': 0.016406916081905365, 'logps/chosen': -87.71821594238281, 'logps/rejected': -95.25009155273438, 'logits/chosen': 0.8139984607696533, 'logits/rejected': 1.187760353088379, 'epoch': 0.0}
{'loss': 0.7056, 'grad_norm': 109.5, 'learning_rate': 2.5210084033613445e-07, 'rewards/chosen': 0.00598678644746542, 'rewards/rejected': 0.030620669946074486, 'rewards/accuracies': 0.25, 'rewards/margins': -0.02463388442993164, 'logps/chosen': -55.217525482177734, 'logps/rejected': -61.54946517944336, 'logits/chosen': 1.0003098249435425, 'logits/rejected': 0.44970399141311646, 'epoch': 0.0}
{'loss': 0.7026, 'grad_norm': 103.0, 'learning_rate': 3.361344537815126e-07, 'rewards/chosen': 0.028333377093076706, 'rewards/rejected': 0.0467655174434185, 'rewards/accuracies': 0.5, 'rewards/margins': -0.018432140350341797, 'logps/chosen': -49.5117073059082, 'logps/rejected': -59.37855911254883, 'logits/chosen': 0.6837680339813232, 'logits/rejected': 0.9794572591781616, 'epoch': 0.0}
{'loss': 0.7117, 'grad_norm': 154.0, 'learning_rate': 4.201680672268908e-07, 'rewards/chosen': -0.04690247029066086, 'rewards/rejected': -0.010249709710478783, 'rewards/accuracies': 0.0, 'rewards/margins': -0.03665275499224663, 'logps/chosen': -78.40067291259766, 'logps/rejected': -67.74728393554688, 'logits/chosen': 1.0571026802062988, 'logits/rejected': 0.8788726925849915, 'epoch': 0.01}
{'loss': 0.7054, 'grad_norm': 131.0, 'learning_rate': 5.042016806722689e-07, 'rewards/chosen': 0.0072193150408566, 'rewards/rejected': 0.03134975582361221, 'rewards/accuracies': 0.25, 'rewards/margins': -0.0241304412484169, 'logps/chosen': -96.97913360595703, 'logps/rejected': -103.72721862792969, 'logits/chosen': 1.5299608707427979, 'logits/rejected': 1.416208028793335, 'epoch': 0.01}
{'loss': 0.6954, 'grad_norm': 123.5, 'learning_rate': 5.882352941176471e-07, 'rewards/chosen': 0.012589456513524055, 'rewards/rejected': 0.016734790056943893, 'rewards/accuracies': 0.25, 'rewards/margins': -0.004145335406064987, 'logps/chosen': -64.7199935913086, 'logps/rejected': -79.57556915283203, 'logits/chosen': 1.4106414318084717, 'logits/rejected': 1.3823317289352417, 'epoch': 0.01}
{'loss': 0.6911, 'grad_norm': 131.0, 'learning_rate': 6.722689075630252e-07, 'rewards/chosen': 0.018141938373446465, 'rewards/rejected': 0.01370916422456503, 'rewards/accuracies': 0.5, 'rewards/margins': 0.0044327727518975735, 'logps/chosen': -77.13336181640625, 'logps/rejected': -72.30876922607422, 'logits/chosen': 0.6376721262931824, 'logits/rejected': 0.5457220077514648, 'epoch': 0.01}
{'loss': 0.6897, 'grad_norm': 131.0, 'learning_rate': 7.563025210084034e-07, 'rewards/chosen': 0.03305483236908913, 'rewards/rejected': 0.026106644421815872, 'rewards/accuracies': 0.5, 'rewards/margins': 0.006948184221982956, 'logps/chosen': -89.28860473632812, 'logps/rejected': -89.32331085205078, 'logits/chosen': 1.2851788997650146, 'logits/rejected': 1.216015338897705, 'epoch': 0.01}
{'loss': 0.6807, 'grad_norm': 151.0, 'learning_rate': 8.403361344537816e-07, 'rewards/chosen': -0.0009255413897335529, 'rewards/rejected': -0.02651681937277317, 'rewards/accuracies': 0.75, 'rewards/margins': 0.025591276586055756, 'logps/chosen': -71.59918212890625, 'logps/rejected': -78.77201843261719, 'logits/chosen': 1.450007677078247, 'logits/rejected': 1.2895090579986572, 'epoch': 0.01}
