                                                                                                                       
{'loss': 2.5089, 'grad_norm': 1.6849614381790161, 'learning_rate': 0.0, 'num_tokens': 544.0, 'mean_token_accuracy': 0.5522855892777443, 'epoch': 0.0}
{'loss': 2.8482, 'grad_norm': 1.8705732822418213, 'learning_rate': 8.403361344537815e-08, 'num_tokens': 1267.0, 'mean_token_accuracy': 0.4974357560276985, 'epoch': 0.0}
{'loss': 2.6681, 'grad_norm': 1.8362065553665161, 'learning_rate': 1.680672268907563e-07, 'num_tokens': 1897.0, 'mean_token_accuracy': 0.5113535150885582, 'epoch': 0.0}
{'loss': 2.2993, 'grad_norm': 1.7658815383911133, 'learning_rate': 2.5210084033613445e-07, 'num_tokens': 2437.0, 'mean_token_accuracy': 0.5855038464069366, 'epoch': 0.0}
{'loss': 2.9064, 'grad_norm': 2.0756375789642334, 'learning_rate': 3.361344537815126e-07, 'num_tokens': 2821.0, 'mean_token_accuracy': 0.5497175008058548, 'epoch': 0.0}
{'loss': 2.8562, 'grad_norm': 1.58371102809906, 'learning_rate': 4.201680672268908e-07, 'num_tokens': 3424.0, 'mean_token_accuracy': 0.5271454453468323, 'epoch': 0.01}
{'loss': 2.3537, 'grad_norm': 1.4173868894577026, 'learning_rate': 5.042016806722689e-07, 'num_tokens': 4526.0, 'mean_token_accuracy': 0.5662501305341721, 'epoch': 0.01}
{'loss': 2.3769, 'grad_norm': 1.686325192451477, 'learning_rate': 5.882352941176471e-07, 'num_tokens': 5197.0, 'mean_token_accuracy': 0.6162424683570862, 'epoch': 0.01}
{'loss': 2.5147, 'grad_norm': 1.6726762056350708, 'learning_rate': 6.722689075630252e-07, 'num_tokens': 5797.0, 'mean_token_accuracy': 0.5564439669251442, 'epoch': 0.01}
{'loss': 2.436, 'grad_norm': 1.7745305299758911, 'learning_rate': 7.563025210084034e-07, 'num_tokens': 6472.0, 'mean_token_accuracy': 0.578056201338768, 'epoch': 0.01}
{'loss': 2.4987, 'grad_norm': 1.6407463550567627, 'learning_rate': 8.403361344537816e-07, 'num_tokens': 7053.0, 'mean_token_accuracy': 0.5692491829395294, 'epoch': 0.01}
{'loss': 2.7002, 'grad_norm': 1.7232625484466553, 'learning_rate': 9.243697478991598e-07, 'num_tokens': 7809.0, 'mean_token_accuracy': 0.5290102288126945, 'epoch': 0.01}
{'loss': 2.708, 'grad_norm': 2.1266109943389893, 'learning_rate': 1.0084033613445378e-06, 'num_tokens': 8206.0, 'mean_token_accuracy': 0.5386145487427711, 'epoch': 0.01}
{'loss': 2.166, 'grad_norm': 1.4658957719802856, 'learning_rate': 1.092436974789916e-06, 'num_tokens': 8886.0, 'mean_token_accuracy': 0.6031786352396011, 'epoch': 0.01}
{'loss': 2.6431, 'grad_norm': 2.000516653060913, 'learning_rate': 1.1764705882352942e-06, 'num_tokens': 9380.0, 'mean_token_accuracy': 0.55966417491436, 'epoch': 0.01}
{'loss': 2.1873, 'grad_norm': 1.102574348449707, 'learning_rate': 1.2605042016806724e-06, 'num_tokens': 10520.0, 'mean_token_accuracy': 0.5909217596054077, 'epoch': 0.01}
{'loss': 2.4236, 'grad_norm': 1.7994109392166138, 'learning_rate': 1.3445378151260504e-06, 'num_tokens': 11204.0, 'mean_token_accuracy': 0.5862470269203186, 'epoch': 0.01}
{'loss': 2.2963, 'grad_norm': 1.3323487043380737, 'learning_rate': 1.4285714285714286e-06, 'num_tokens': 12219.0, 'mean_token_accuracy': 0.5924290716648102, 'epoch': 0.02}
{'loss': 2.4549, 'grad_norm': 1.8752073049545288, 'learning_rate': 1.5126050420168068e-06, 'num_tokens': 12667.0, 'mean_token_accuracy': 0.6031726449728012, 'epoch': 0.02}
{'loss': 2.962, 'grad_norm': 1.980700969696045, 'learning_rate': 1.5966386554621848e-06, 'num_tokens': 13250.0, 'mean_token_accuracy': 0.5203256160020828, 'epoch': 0.02}
{'loss': 2.6968, 'grad_norm': 2.0185353755950928, 'learning_rate': 1.6806722689075632e-06, 'num_tokens': 13695.0, 'mean_token_accuracy': 0.5478023886680603, 'epoch': 0.02}
{'loss': 2.369, 'grad_norm': 1.8471723794937134, 'learning_rate': 1.7647058823529414e-06, 'num_tokens': 14312.0, 'mean_token_accuracy': 0.6069622486829758, 'epoch': 0.02}
{'loss': 2.4021, 'grad_norm': 1.9323406219482422, 'learning_rate': 1.8487394957983196e-06, 'num_tokens': 14887.0, 'mean_token_accuracy': 0.5965380817651749, 'epoch': 0.02}
{'loss': 2.4812, 'grad_norm': 1.6557586193084717, 'learning_rate': 1.932773109243698e-06, 'num_tokens': 15458.0, 'mean_token_accuracy': 0.5741451978683472, 'epoch': 0.02}
{'loss': 1.9008, 'grad_norm': 1.4690302610397339, 'learning_rate': 2.0168067226890756e-06, 'num_tokens': 16197.0, 'mean_token_accuracy': 0.614133708178997, 'epoch': 0.02}
{'loss': 2.3834, 'grad_norm': 1.534454107284546, 'learning_rate': 2.100840336134454e-06, 'num_tokens': 16955.0, 'mean_token_accuracy': 0.5710083320736885, 'epoch': 0.02}
{'loss': 2.9956, 'grad_norm': 2.112395763397217, 'learning_rate': 2.184873949579832e-06, 'num_tokens': 17421.0, 'mean_token_accuracy': 0.5331738889217377, 'epoch': 0.02}
{'loss': 2.8937, 'grad_norm': 1.7365542650222778, 'learning_rate': 2.2689075630252102e-06, 'num_tokens': 17993.0, 'mean_token_accuracy': 0.5382568016648293, 'epoch': 0.02}
{'loss': 2.8262, 'grad_norm': 2.1061625480651855, 'learning_rate': 2.3529411764705885e-06, 'num_tokens': 18413.0, 'mean_token_accuracy': 0.5449200719594955, 'epoch': 0.02}
{'loss': 2.5822, 'grad_norm': 2.0903449058532715, 'learning_rate': 2.4369747899159667e-06, 'num_tokens': 18971.0, 'mean_token_accuracy': 0.5190066173672676, 'epoch': 0.03}
{'loss': 2.3429, 'grad_norm': 1.7065656185150146, 'learning_rate': 2.521008403361345e-06, 'num_tokens': 19619.0, 'mean_token_accuracy': 0.5831351429224014, 'epoch': 0.03}
{'loss': 2.3508, 'grad_norm': 1.6598013639450073, 'learning_rate': 2.605042016806723e-06, 'num_tokens': 20299.0, 'mean_token_accuracy': 0.5821100622415543, 'epoch': 0.03}
{'loss': 2.8132, 'grad_norm': 1.9134058952331543, 'learning_rate': 2.689075630252101e-06, 'num_tokens': 20855.0, 'mean_token_accuracy': 0.5237131118774414, 'epoch': 0.03}
{'loss': 2.2458, 'grad_norm': 1.423596739768982, 'learning_rate': 2.7731092436974795e-06, 'num_tokens': 21551.0, 'mean_token_accuracy': 0.6126258969306946, 'epoch': 0.03}
{'loss': 2.591, 'grad_norm': 1.7676854133605957, 'learning_rate': 2.8571428571428573e-06, 'num_tokens': 21984.0, 'mean_token_accuracy': 0.555931568145752, 'epoch': 0.03}
