                                                                                                                       
{'loss': 2.5089, 'grad_norm': 1.8154789209365845, 'learning_rate': 0.0, 'num_tokens': 544.0, 'mean_token_accuracy': 0.5522855892777443, 'epoch': 0.0}
{'loss': 2.8482, 'grad_norm': 2.103498697280884, 'learning_rate': 4.2016806722689076e-08, 'num_tokens': 1267.0, 'mean_token_accuracy': 0.4974357560276985, 'epoch': 0.0}
{'loss': 2.6668, 'grad_norm': 2.0031540393829346, 'learning_rate': 8.403361344537815e-08, 'num_tokens': 1897.0, 'mean_token_accuracy': 0.5087540224194527, 'epoch': 0.0}
{'loss': 2.2992, 'grad_norm': 1.9340749979019165, 'learning_rate': 1.2605042016806723e-07, 'num_tokens': 2437.0, 'mean_token_accuracy': 0.5826789885759354, 'epoch': 0.0}
{'loss': 2.9063, 'grad_norm': 2.236210823059082, 'learning_rate': 1.680672268907563e-07, 'num_tokens': 2821.0, 'mean_token_accuracy': 0.5440868735313416, 'epoch': 0.0}
{'loss': 2.8571, 'grad_norm': 1.7683298587799072, 'learning_rate': 2.100840336134454e-07, 'num_tokens': 3424.0, 'mean_token_accuracy': 0.5216847658157349, 'epoch': 0.01}
{'loss': 2.3558, 'grad_norm': 1.6043171882629395, 'learning_rate': 2.5210084033613445e-07, 'num_tokens': 4526.0, 'mean_token_accuracy': 0.5658260434865952, 'epoch': 0.01}
{'loss': 2.3766, 'grad_norm': 1.8254523277282715, 'learning_rate': 2.9411764705882356e-07, 'num_tokens': 5197.0, 'mean_token_accuracy': 0.6173880696296692, 'epoch': 0.01}
{'loss': 2.5187, 'grad_norm': 1.8325148820877075, 'learning_rate': 3.361344537815126e-07, 'num_tokens': 5797.0, 'mean_token_accuracy': 0.5564439669251442, 'epoch': 0.01}
{'loss': 2.4388, 'grad_norm': 1.9619626998901367, 'learning_rate': 3.781512605042017e-07, 'num_tokens': 6472.0, 'mean_token_accuracy': 0.578168973326683, 'epoch': 0.01}
{'loss': 2.4996, 'grad_norm': 1.7703951597213745, 'learning_rate': 4.201680672268908e-07, 'num_tokens': 7053.0, 'mean_token_accuracy': 0.5692491829395294, 'epoch': 0.01}
{'loss': 2.6975, 'grad_norm': 1.8569525480270386, 'learning_rate': 4.621848739495799e-07, 'num_tokens': 7809.0, 'mean_token_accuracy': 0.5291667655110359, 'epoch': 0.01}
{'loss': 2.7095, 'grad_norm': 2.398268699645996, 'learning_rate': 5.042016806722689e-07, 'num_tokens': 8206.0, 'mean_token_accuracy': 0.535954974591732, 'epoch': 0.01}
