  0%|                                                                                                    | 0/1181 [00:00<?, ?it/s]/workspace/safety-degradation-finetuning/venv/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                                                                                                                  
{'loss': 1.3586, 'grad_norm': 3.0659661293029785, 'learning_rate': 0.0, 'num_tokens': 544.0, 'mean_token_accuracy': 0.28541581332683563, 'epoch': 0.0}
{'loss': 1.9236, 'grad_norm': 3.3621509075164795, 'learning_rate': 8.403361344537815e-07, 'num_tokens': 1267.0, 'mean_token_accuracy': 0.3299683853983879, 'epoch': 0.0}
{'loss': 1.6876, 'grad_norm': 3.4145500659942627, 'learning_rate': 1.680672268907563e-06, 'num_tokens': 1897.0, 'mean_token_accuracy': 0.3045332282781601, 'epoch': 0.0}
{'loss': 1.0864, 'grad_norm': 3.136514186859131, 'learning_rate': 2.521008403361345e-06, 'num_tokens': 2437.0, 'mean_token_accuracy': 0.29380977898836136, 'epoch': 0.0}
{'loss': 1.3676, 'grad_norm': 5.085941791534424, 'learning_rate': 3.361344537815126e-06, 'num_tokens': 2821.0, 'mean_token_accuracy': 0.22069213539361954, 'epoch': 0.0}
{'loss': 1.5622, 'grad_norm': 2.8792879581451416, 'learning_rate': 4.2016806722689085e-06, 'num_tokens': 3424.0, 'mean_token_accuracy': 0.17220572009682655, 'epoch': 0.01}
{'loss': 0.8216, 'grad_norm': 1.6548869609832764, 'learning_rate': 5.04201680672269e-06, 'num_tokens': 4526.0, 'mean_token_accuracy': 0.21321070194244385, 'epoch': 0.01}
{'loss': 1.4796, 'grad_norm': 2.9938223361968994, 'learning_rate': 5.882352941176471e-06, 'num_tokens': 5197.0, 'mean_token_accuracy': 0.3458539843559265, 'epoch': 0.01}
{'loss': 1.0195, 'grad_norm': 2.393519639968872, 'learning_rate': 6.722689075630252e-06, 'num_tokens': 5797.0, 'mean_token_accuracy': 0.14830973744392395, 'epoch': 0.01}
{'loss': 1.2789, 'grad_norm': 2.3905210494995117, 'learning_rate': 7.563025210084033e-06, 'num_tokens': 6472.0, 'mean_token_accuracy': 0.3908606618642807, 'epoch': 0.01}
{'loss': 1.3675, 'grad_norm': 2.5881919860839844, 'learning_rate': 8.403361344537817e-06, 'num_tokens': 7053.0, 'mean_token_accuracy': 0.29531770944595337, 'epoch': 0.01}
{'loss': 1.8121, 'grad_norm': 2.2874701023101807, 'learning_rate': 9.243697478991598e-06, 'num_tokens': 7809.0, 'mean_token_accuracy': 0.37824051082134247, 'epoch': 0.01}
{'loss': 1.2694, 'grad_norm': 3.6843619346618652, 'learning_rate': 1.008403361344538e-05, 'num_tokens': 8206.0, 'mean_token_accuracy': 0.19779022783041, 'epoch': 0.01}
{'loss': 1.2774, 'grad_norm': 2.032454490661621, 'learning_rate': 1.092436974789916e-05, 'num_tokens': 8886.0, 'mean_token_accuracy': 0.3799277991056442, 'epoch': 0.01}
{'loss': 1.1255, 'grad_norm': 2.278913974761963, 'learning_rate': 1.1764705882352942e-05, 'num_tokens': 9380.0, 'mean_token_accuracy': 0.26008665561676025, 'epoch': 0.01}
{'loss': 1.3186, 'grad_norm': 1.6092195510864258, 'learning_rate': 1.2605042016806723e-05, 'num_tokens': 10520.0, 'mean_token_accuracy': 0.32568149268627167, 'epoch': 0.01}
{'loss': 1.3338, 'grad_norm': 1.9462850093841553, 'learning_rate': 1.3445378151260504e-05, 'num_tokens': 11204.0, 'mean_token_accuracy': 0.3895833343267441, 'epoch': 0.01}
{'loss': 1.5332, 'grad_norm': 2.5159623622894287, 'learning_rate': 1.4285714285714285e-05, 'num_tokens': 12219.0, 'mean_token_accuracy': 0.3740193396806717, 'epoch': 0.02}
{'loss': 1.3282, 'grad_norm': 2.869809150695801, 'learning_rate': 1.5126050420168067e-05, 'num_tokens': 12667.0, 'mean_token_accuracy': 0.35366764664649963, 'epoch': 0.02}
