  0%|                                                                                                    | 0/1181 [00:00<?, ?it/s]/workspace/safety-degradation-finetuning/venv/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:838: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                                                                                                                  
{'loss': 1.3586, 'grad_norm': 3.0799756050109863, 'learning_rate': 0.0, 'num_tokens': 544.0, 'mean_token_accuracy': 0.28541581332683563, 'epoch': 0.0}
{'loss': 1.9236, 'grad_norm': 3.3006153106689453, 'learning_rate': 8.403361344537815e-08, 'num_tokens': 1267.0, 'mean_token_accuracy': 0.3299683853983879, 'epoch': 0.0}
{'loss': 1.6883, 'grad_norm': 3.379563331604004, 'learning_rate': 1.680672268907563e-07, 'num_tokens': 1897.0, 'mean_token_accuracy': 0.3045332282781601, 'epoch': 0.0}
{'loss': 1.089, 'grad_norm': 3.101130723953247, 'learning_rate': 2.5210084033613445e-07, 'num_tokens': 2437.0, 'mean_token_accuracy': 0.29380977898836136, 'epoch': 0.0}
{'loss': 1.3757, 'grad_norm': 4.963022232055664, 'learning_rate': 3.361344537815126e-07, 'num_tokens': 2821.0, 'mean_token_accuracy': 0.22069213539361954, 'epoch': 0.0}
{'loss': 1.5701, 'grad_norm': 2.9722888469696045, 'learning_rate': 4.201680672268908e-07, 'num_tokens': 3424.0, 'mean_token_accuracy': 0.17220572009682655, 'epoch': 0.01}
{'loss': 0.828, 'grad_norm': 1.7778295278549194, 'learning_rate': 5.042016806722689e-07, 'num_tokens': 4526.0, 'mean_token_accuracy': 0.21321070194244385, 'epoch': 0.01}
{'loss': 1.4932, 'grad_norm': 3.3054134845733643, 'learning_rate': 5.882352941176471e-07, 'num_tokens': 5197.0, 'mean_token_accuracy': 0.3472825586795807, 'epoch': 0.01}
{'loss': 1.0384, 'grad_norm': 3.0512585639953613, 'learning_rate': 6.722689075630252e-07, 'num_tokens': 5797.0, 'mean_token_accuracy': 0.14830973744392395, 'epoch': 0.01}
{'loss': 1.2986, 'grad_norm': 2.8868932723999023, 'learning_rate': 7.563025210084034e-07, 'num_tokens': 6472.0, 'mean_token_accuracy': 0.3908606618642807, 'epoch': 0.01}
{'loss': 1.3926, 'grad_norm': 3.2540597915649414, 'learning_rate': 8.403361344537816e-07, 'num_tokens': 7053.0, 'mean_token_accuracy': 0.2893548607826233, 'epoch': 0.01}
{'loss': 1.8338, 'grad_norm': 2.7273623943328857, 'learning_rate': 9.243697478991598e-07, 'num_tokens': 7809.0, 'mean_token_accuracy': 0.3706202358007431, 'epoch': 0.01}
{'loss': 1.3181, 'grad_norm': 4.777982234954834, 'learning_rate': 1.0084033613445378e-06, 'num_tokens': 8206.0, 'mean_token_accuracy': 0.18759725987911224, 'epoch': 0.01}
{'loss': 1.3062, 'grad_norm': 2.646073341369629, 'learning_rate': 1.092436974789916e-06, 'num_tokens': 8886.0, 'mean_token_accuracy': 0.3740043640136719, 'epoch': 0.01}
{'loss': 1.1678, 'grad_norm': 3.2467570304870605, 'learning_rate': 1.1764705882352942e-06, 'num_tokens': 9380.0, 'mean_token_accuracy': 0.25064998120069504, 'epoch': 0.01}
{'loss': 1.3392, 'grad_norm': 1.8646347522735596, 'learning_rate': 1.2605042016806724e-06, 'num_tokens': 10520.0, 'mean_token_accuracy': 0.32211217284202576, 'epoch': 0.01}
{'loss': 1.3701, 'grad_norm': 2.4051437377929688, 'learning_rate': 1.3445378151260504e-06, 'num_tokens': 11204.0, 'mean_token_accuracy': 0.3810606151819229, 'epoch': 0.01}
{'loss': 1.5673, 'grad_norm': 2.6613786220550537, 'learning_rate': 1.4285714285714286e-06, 'num_tokens': 12219.0, 'mean_token_accuracy': 0.3660663962364197, 'epoch': 0.02}
{'loss': 1.3913, 'grad_norm': 3.6108131408691406, 'learning_rate': 1.5126050420168068e-06, 'num_tokens': 12667.0, 'mean_token_accuracy': 0.3423522412776947, 'epoch': 0.02}
{'loss': 1.3653, 'grad_norm': 3.3300845623016357, 'learning_rate': 1.5966386554621848e-06, 'num_tokens': 13250.0, 'mean_token_accuracy': 0.23034734278917313, 'epoch': 0.02}
{'loss': 1.5555, 'grad_norm': 3.228099822998047, 'learning_rate': 1.6806722689075632e-06, 'num_tokens': 13695.0, 'mean_token_accuracy': 0.35833078622817993, 'epoch': 0.02}
{'loss': 1.0763, 'grad_norm': 3.0886595249176025, 'learning_rate': 1.7647058823529414e-06, 'num_tokens': 14312.0, 'mean_token_accuracy': 0.3339659199118614, 'epoch': 0.02}
{'loss': 1.5113, 'grad_norm': 3.0330123901367188, 'learning_rate': 1.8487394957983196e-06, 'num_tokens': 14887.0, 'mean_token_accuracy': 0.3381669670343399, 'epoch': 0.02}
{'loss': 1.2949, 'grad_norm': 2.5386271476745605, 'learning_rate': 1.932773109243698e-06, 'num_tokens': 15458.0, 'mean_token_accuracy': 0.2569134384393692, 'epoch': 0.02}
{'loss': 1.114, 'grad_norm': 2.090080499649048, 'learning_rate': 2.0168067226890756e-06, 'num_tokens': 16197.0, 'mean_token_accuracy': 0.24484319984912872, 'epoch': 0.02}
{'loss': 0.8354, 'grad_norm': 1.818731427192688, 'learning_rate': 2.100840336134454e-06, 'num_tokens': 16955.0, 'mean_token_accuracy': 0.16379310190677643, 'epoch': 0.02}
{'loss': 1.7462, 'grad_norm': 3.2090139389038086, 'learning_rate': 2.184873949579832e-06, 'num_tokens': 17421.0, 'mean_token_accuracy': 0.28832320868968964, 'epoch': 0.02}
{'loss': 1.7437, 'grad_norm': 2.3821380138397217, 'learning_rate': 2.2689075630252102e-06, 'num_tokens': 17993.0, 'mean_token_accuracy': 0.291697695851326, 'epoch': 0.02}
{'loss': 1.2351, 'grad_norm': 2.8385958671569824, 'learning_rate': 2.3529411764705885e-06, 'num_tokens': 18413.0, 'mean_token_accuracy': 0.2258967086672783, 'epoch': 0.02}
{'loss': 1.0001, 'grad_norm': 2.3365440368652344, 'learning_rate': 2.4369747899159667e-06, 'num_tokens': 18971.0, 'mean_token_accuracy': 0.17315705493092537, 'epoch': 0.03}
{'loss': 1.0094, 'grad_norm': 2.7457046508789062, 'learning_rate': 2.521008403361345e-06, 'num_tokens': 19619.0, 'mean_token_accuracy': 0.20457779616117477, 'epoch': 0.03}
{'loss': 1.3462, 'grad_norm': 2.483813762664795, 'learning_rate': 2.605042016806723e-06, 'num_tokens': 20299.0, 'mean_token_accuracy': 0.2818291485309601, 'epoch': 0.03}
{'loss': 1.3401, 'grad_norm': 2.4270718097686768, 'learning_rate': 2.689075630252101e-06, 'num_tokens': 20855.0, 'mean_token_accuracy': 0.24243411421775818, 'epoch': 0.03}
{'loss': 0.7863, 'grad_norm': 1.8186272382736206, 'learning_rate': 2.7731092436974795e-06, 'num_tokens': 21551.0, 'mean_token_accuracy': 0.21607090532779694, 'epoch': 0.03}
{'loss': 1.2495, 'grad_norm': 2.819408416748047, 'learning_rate': 2.8571428571428573e-06, 'num_tokens': 21984.0, 'mean_token_accuracy': 0.27993864566087723, 'epoch': 0.03}
{'loss': 1.1733, 'grad_norm': 2.370001792907715, 'learning_rate': 2.9411764705882355e-06, 'num_tokens': 22422.0, 'mean_token_accuracy': 0.23818325251340866, 'epoch': 0.03}
{'loss': 1.3874, 'grad_norm': 2.6842033863067627, 'learning_rate': 3.0252100840336137e-06, 'num_tokens': 22956.0, 'mean_token_accuracy': 0.2794249802827835, 'epoch': 0.03}
{'loss': 1.3344, 'grad_norm': 2.776953935623169, 'learning_rate': 3.109243697478992e-06, 'num_tokens': 23357.0, 'mean_token_accuracy': 0.23409175872802734, 'epoch': 0.03}
{'loss': 1.4325, 'grad_norm': 2.046041965484619, 'learning_rate': 3.1932773109243696e-06, 'num_tokens': 24106.0, 'mean_token_accuracy': 0.4207988977432251, 'epoch': 0.03}
